hldpfx,hldnum,wh_id,hldtyp,enaflg,alcflg,shpflg,movflg,future_flg,prtnum,client_id,prtfam,lotnum,sup_lotnum,revlvl,orgcod,beg_mandte,end_mandte,invsts,trknum,supnum,invnum,wkonum,wkorev,stoloc,arecod,reacod,invsts_chg_flg,credte,cre_usr_id,moddte,mod_usr_id,cstms_cnsgnmnt_id,rttn_id,cstms_bond_flg,dty_stmp_flg,inv_attr_str1,inv_attr_str2,inv_attr_str3,inv_attr_str4,inv_attr_str5,inv_attr_str6,inv_attr_str7,inv_attr_str8,inv_attr_str9,inv_attr_str10,inv_attr_str11,inv_attr_str12,inv_attr_str13,inv_attr_str14,inv_attr_str15,inv_attr_str16,inv_attr_str17,inv_attr_str18,inv_attr_int1,inv_attr_int2,inv_attr_int3,inv_attr_int4,inv_attr_int5,inv_attr_flt1,inv_attr_flt2,inv_attr_flt3,inv_attr_dte1,inv_attr_dte2,severity,invtid
"----","OUTAUDHLD","----","O",1,0,0,0,0,"","","","","","","","","","","","","","","","","","OUT-AUD-HLD",1,"","","","","","",0,0,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,"","","sev_3",""
"2","CARR.TYPE","2","RDA",1,0,0,0,0,"","","","","","","","","","","","","","","","","","",0,"20190103132428","939370","20200209215151","939370","","",0,0,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,"","","sev_1",""
"2","CARR.USED","2","RDA",1,0,0,0,0,"","","","","","","","","","","","","","","","","","",0,"20190103132428","939370","20200209215151","939370","","",0,0,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,"","","sev_1",""
"2","EAB.ABS","2","RDA",1,0,0,0,0,"","","","","","","","","","","","","","","","","","",0,"20190103132428","939370","20200209215151","939370","","",0,0,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,"","","sev_1",""
"2","LOT.MULT","2","RDO",1,0,0,0,0,"","","","","","","","","","","","","","","","","","",0,"20190103132428","939370","20200209215151","939370","","",0,0,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,"","","sev_1",""
"2","LYRS.CHNG","2","SIM",1,0,0,0,0,"","","","","","","","","","","","","","","","","","",0,"20190103132428","939370","20200209215151","939370","","",0,0,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,"","","sev_1",""
"2","NOTE.USED","2","EXT",1,0,0,0,0,"","","","","","","","","","","","","","","","","","",0,"20190103132428","939370","20200209215151","939370","","",0,0,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,"","","sev_1",""
"2","PAB.MERGE","2","RDA",1,0,0,0,0,"","","","","","","","","","","","","","","","","","",0,"20190426121505","939370","20200209215151","939370","","",0,0,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,"","","sev_1",""
"2","PASSP.MISS","2","RDX",1,0,0,0,0,"","","","","","","","","","","","","","","","","","OVERIG",0,"20191101162310","RAINAS","20200209215151","939370","","",0,0,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,"","","sev_1",""
"2","PHOTO.MISS","2","RDX",1,0,0,0,0,"","","","","","","","","","","","","","","","","","",0,"20190103132428","939370","20200209215151","939370","","",0,0,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,"","","sev_1",""
"2","PRT.ABS","2","RDA",1,0,0,0,0,"","","","","","","","","","","","","","","","","","",0,"20190103132428","939370","20210217123451","939161","","",0,0,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,"","","sev_1",""
"2","QTY.CHNG","2","RDX",1,0,0,0,0,"","","","","","","","","","","","","","","","","","",0,"20190103132428","939370","20200209215151","939370","","",0,0,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,"","","sev_1",""
